artist,listeners,chart_weeks,total_streams,best_position,log_listeners,log_chart_weeks,log_total_streams
Daft Punk,6249715,37.0,505072607.0,24.0,6.795860213064159,1.568201724066995,8.703353814856937
BTS,2316882,5.0,74581683.0,45.0,6.364903915510366,0.6989700043360189,7.872632179365407
KATSEYE,1479403,12.0,300584800.0,10.0,6.1700864950486825,1.0791812460476249,8.47796701536257
Black Eyed Peas,5654716,4.0,58518724.0,24.0,6.752410797991786,0.6020599913279624,7.767294847771103
LE SSERAFIM,1616893,14.0,173731673.0,25.0,6.208681280854379,1.146128035678238,8.239879001839014
BLACKPINK,1952307,10.0,141555656.0,8.0,6.290548111446687,1.0,8.1509272267249
Justin Timberlake,5473467,2.0,17376841.0,167.0,6.7382625040297,0.3010299956639812,7.239970827293002
The Killers,6874883,20.0,199006276.0,50.0,6.837265311536954,1.3010299956639813,8.298866772837794
Pierce the Veil,2041985,1.0,8270513.0,175.0,6.310052547525056,0.0,6.917532448628655
Yeat,1583135,6.0,89067439.0,15.0,6.199517950399433,0.7781512503836436,7.949718965011809
David Guetta,5160920,21.0,430129268.0,10.0,6.7127271270746345,1.3222192947339193,8.633598994980112
EsDeeKid,875817,4.0,88927760.0,41.0,5.942413370788213,0.6020599913279624,7.94903735301631
TWICE,1869503,4.0,74322292.0,52.0,6.271726166405136,0.6020599913279624,7.871119094252592
Dua Lipa,3224232,20.0,584986218.0,6.0,6.508426283968893,1.3010299956639813,8.767145634429093
ABBA,4330377,1.0,8431450.0,175.0,6.636525707413965,0.0,6.925902268912637
Pitbull,4341486,17.0,172908951.0,96.0,6.63763840489053,1.2304489213782739,8.237817476034401
The Cranberries,4668662,1.0,8901520.0,193.0,6.669192433183658,0.0,6.9494641719537285
Madonna,5520985,13.0,188348221.0,12.0,6.742016567204243,1.1139433523068367,8.27496152252956
Kesha,3086977,2.0,25319672.0,73.0,6.489533393715884,0.3010299956639812,7.4034580753772
JAŸ-Z,251885,1.0,10149204.0,79.0,5.401202305603731,0.0,7.006431981957235
XXXTENTACION,2776645,4.0,34478211.0,181.0,6.443520357821403,0.6020599913279624,7.537544723133389
Miley Cyrus,4785176,26.0,599239329.0,1.0,6.679897915869003,1.414973347970818,8.77760030904248
Conan Gray,2379267,7.0,60127067.0,146.0,6.376443181053715,0.8450980400142568,7.77907001946528
Nelly Furtado,4789200,6.0,51046715.0,150.0,6.680262973831648,0.7781512503836436,7.707967799248066
Doechii,1975972,10.0,219628177.0,4.0,6.295780786237617,1.0,8.341688056773538
One Direction,3219123,28.0,352044360.0,13.0,6.50773757103191,1.4471580313422192,8.546597391004797
The 1975,2613156,1.0,8106206.0,195.0,6.417165336982156,0.0,6.908817636110152
Beach House,3473201,1.0,7242499.0,200.0,6.540729917392222,0.0,6.859888443911076
Lil Wayne,3529811,6.0,97384374.0,25.0,6.5477514521712425,0.7781512503836436,7.988489276899165
PARTYNEXTDOOR,1935900,2.0,22726227.0,66.0,6.2868829198267875,0.3010299956639812,7.356527340296374
21 Savage,2272007,17.0,542202128.0,6.0,6.356409665092102,1.2304489213782739,8.73416121773883
Adele,5565336,18.0,272867800.0,95.0,6.7454913894327895,1.255272505103306,8.43595228939874
Kate Bush,3411549,3.0,35273558.0,28.0,6.5329516134224,0.47712125471966244,7.547449268622176
Gracie Abrams,1774025,20.0,589781468.0,6.0,6.248959735724313,1.3010299956639813,8.770691122112382
Oasis,5817393,5.0,49662076.0,94.0,6.764728404002271,0.6989700043360189,7.69602487020243
Shakira,4806448,23.0,483075042.0,2.0,6.681824248128335,1.3617278360175928,8.684014600306483
Gunna,1779003,17.0,237144034.0,10.0,6.250176680451743,1.2304489213782739,8.375012203272222
Juice WRLD,2448007,3.0,42868727.0,101.0,6.388812655326884,0.47712125471966244,7.632140587194234
Troye Sivan,2413316,5.0,55780829.0,34.0,6.382614192224147,0.6989700043360189,7.746484964348284
ROSALÍA,1821645,15.0,287748136.0,5.0,6.260463746093195,1.1760912590556813,8.459012519000227
Evanescence,4440482,11.0,102520227.0,90.0,6.647430113938679,1.0413926851582251,8.0108095591269
