artist,listeners,in_chart,chart_weeks,total_streams,best_position
Jimin,859538,True,36.0,913340763.0,1.0
Selena Gomez & the Scene,2466378,False,0.0,0.0,
HIM,1661462,False,0.0,0.0,
Wet Leg,882417,False,0.0,0.0,
Crowded House,1958124,False,0.0,0.0,
Christina Aguilera,4429479,False,0.0,0.0,
Exo,1033112,False,0.0,0.0,
ScHoolboy Q,1966619,True,1.0,16270479.0,45.0
Odetari,1104469,True,1.0,12449776.0,75.0
JVKE,1571503,True,10.0,152822261.0,21.0
Cafuné,1451301,False,0.0,0.0,
Christina Aguilera,4429479,False,0.0,0.0,
Akon,3693557,False,0.0,0.0,
Cavetown,1609528,False,0.0,0.0,
Crowded House,1958124,False,0.0,0.0,
Ozzy Osbourne,3089059,True,1.0,33182077.0,60.0
Offset,1448852,True,2.0,20250461.0,77.0
Benson Boone,1456781,True,26.0,984255148.0,1.0
RM,772921,True,2.0,24962070.0,64.0
Jane Remover,500002,False,0.0,0.0,
Matt Maltese,1712156,False,0.0,0.0,
John Lennon,4035893,True,3.0,71234665.0,16.0
Reneé Rapp,982162,False,0.0,0.0,
The White Stripes,4815044,True,2.0,18844959.0,146.0
Earl Sweatshirt,1561664,False,0.0,0.0,
Cults,2434282,False,0.0,0.0,
Tainy,784846,True,4.0,43535094.0,31.0
Jin,795007,True,17.0,344112013.0,2.0
Joy Division,3355005,False,0.0,0.0,
Modern Baseball,912390,False,0.0,0.0,
Lola Young,1152073,True,16.0,353314600.0,8.0
Don Omar,1780202,True,26.0,250188644.0,80.0
Duster,1578184,False,0.0,0.0,
Jack Harlow,1821134,True,10.0,263017773.0,4.0
Waka Flocka Flame,1790840,False,0.0,0.0,
Sonder,1039774,False,0.0,0.0,
Jennifer Lopez,3738601,False,0.0,0.0,
Little Mix,1823338,False,0.0,0.0,
Wolf Alice,1251269,False,0.0,0.0,
NLE Choppa,1460495,True,3.0,37849726.0,22.0
wave to earth,823097,False,0.0,0.0,
The Lumineers,2552448,True,1.0,10870508.0,82.0
V,906065,True,29.0,402601181.0,31.0
Lauv,1735659,True,1.0,11279309.0,99.0
Ashnikko,1437241,True,1.0,9174378.0,192.0
Stone Temple Pilots,2470260,False,0.0,0.0,
King Von,985572,False,0.0,0.0,
Hole,2080548,False,0.0,0.0,
Keane,3997883,True,36.0,346939855.0,80.0
M83,3493781,False,0.0,0.0,
Air,3182451,False,0.0,0.0,
George Michael,3193894,False,0.0,0.0,
Dr. Dre,3934510,False,0.0,0.0,
Neil Young,2696140,False,0.0,0.0,
Seventeen,927181,False,0.0,0.0,
The Velvet Underground,3168703,False,0.0,0.0,
BigXthaPlug,927084,False,0.0,0.0,
Tinashe,1586552,True,9.0,144799346.0,16.0
Lynyrd Skynyrd,3247064,False,0.0,0.0,
Pet Shop Boys,2322216,False,0.0,0.0,
