artist_name,total_events,revisit_cities,new_cities,pct_revisit_cities,revisit_ratio,pct_events_revisit,most_visited_city,most_visited_n,listeners
DJ Snake,3,0,3,0.0,0.0,0.0,Chicago,1,2558506
Daft Punk,3,0,3,0.0,0.0,0.0,Fontana,1,6255945
Daniel Caesar,1,0,1,0.0,0.0,0.0,Eau Claire,1,2306543
Dave,38,8,21,27.59,0.381,44.74,George,3,1261916
David Guetta,2,0,2,0.0,0.0,0.0,Morrison,1,5166510
Deftones,7,0,7,0.0,0.0,0.0,Monterrey,1,4170076
Demi Lovato,23,0,23,0.0,0.0,0.0,Denver,1,3340127
Denzel Curry,1,0,1,0.0,0.0,0.0,Lismore,1,1609654
Destroy Lonely,4,0,4,0.0,0.0,0.0,South Padre Island,1,888189
Dire Straits,1,0,1,0.0,0.0,0.0,Inverness,1,3493158
Disclosure,20,5,8,38.46,0.625,60.0,Denver,3,2442046
Djo,24,9,5,64.29,1.8,79.17,San Francisco,3,2263774
Doja Cat,41,0,41,0.0,0.0,0.0,Denver,1,3566631
Dominic Fike,13,2,9,18.18,0.222,30.77,Seattle,2,2348884
Don Toliver,35,1,33,2.94,0.03,5.71,Los Angeles,2,2447590
Drake,12,1,10,9.09,0.1,16.67,Alpharetta,2,6651918
Duran Duran,7,1,3,25.0,0.333,57.14,Las Vegas,4,3134668
Eagles,9,1,3,25.0,0.333,66.67,Las Vegas,6,3793946
"Earth, Wind & Fire",47,3,41,6.82,0.073,12.77,Reno,2,2914538
Ed Sheeran,28,4,19,17.39,0.211,32.14,Toronto,3,4165203
Electric Light Orchestra,8,0,8,0.0,0.0,0.0,Nashville,1,2947864
Elton John,1,0,1,0.0,0.0,0.0,Quebec,1,5175290
Eminem,2,0,2,0.0,0.0,0.0,Norwich ,1,7731247
Empire of the Sun,11,1,8,11.11,0.125,27.27,San Francisco,3,2990884
EsDeeKid,4,0,4,0.0,0.0,0.0,London,1,883871
Ethel Cain,28,4,18,18.18,0.222,35.71,San Francisco,3,1242897
Evanescence,39,0,39,0.0,0.0,0.0,Forest (Brussels),1,4446000
Exo,1,0,1,0.0,0.0,0.0,Houten,1,1035039
FKA twigs,22,1,20,4.76,0.05,9.09,Werchter,2,1646719
Fetty Wap,1,0,1,0.0,0.0,0.0,Montclair,1,1672181
